="Balencing Table"
="",="(1)",="",="",="",=""
="",="",="",="",="",=""
="",="mean",="sd",="min",="max",="count"
="age",="22.68",="(4.51)",="18",="43",="56"
="male",="0.43",="(0.50)",="0",="1",="56"
="econstudent",="0.32",="(0.47)",="0",="1",="56"
="bachelor",="0.70",="(0.46)",="0",="1",="56"
="comp1",="6.68",="(2.62)",="1",="10",="56"
="comp2",="6.57",="(2.50)",="0",="10",="56"
="likestowin",="8.20",="(2.04)",="3",="10",="56"
="compulsive",="4.88",="(2.13)",="0",="9",="56"
="trust",="7.96",="(4.94)",="0",="16",="56"
="trustworth",="0.32",="(0.22)",="0",="1",="56"
="lossavers",="0.52",="(0.20)",="0",="1",="52"
="no_cointosses",="3.12",="(1.21)",="0",="6",="56"
="riskaverse",="0.50",="(0.19)",="0",="1",="56"
="auszahlung",="14.59",="(4.62)",="8",="28",="56"
="Altruist",="0.14",="(0.35)",="0",="1",="56"
="Selfish",="0.30",="(0.46)",="0",="1",="56"
="Maximin",="0.32",="(0.47)",="0",="1",="56"
="Balencing Table"
="",="(1)",="(2)",="(3)",="(4)",="(5)",="(6)",="(7)",="(8)",="(9)",="(10)",="(11)",="(12)",="(13)",="(14)",="(15)",="(16)",="(17)"
="",="age",="male",="econstudent",="bachelor",="comp1",="comp2",="likestowin",="compulsive",="trust",="trustworth",="lossavers",="no_cointosses",="riskaverse",="auszahlung",="Altruist",="Selfish",="Maximin"
="",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se",="b/se"
="1.treatment",="0.196",="0.009",="0.033",="-0.176",="-0.220",="-0.176",="0.095",="-0.521",="1.702",="-0.007",="-0.012",="-0.063",="0.017",="0.432",="0.190*",="-0.012",="-0.155"
="",="(0.736)",="(0.098)",="(0.094)",="(0.096)",="(0.499)",="(0.494)",="(0.344)",="(0.418)",="(0.978)",="(0.041)",="(0.041)",="(0.241)",="(0.035)",="(0.976)",="(0.083)",="(0.091)",="(0.083)"
="N",="104",="104",="104",="104",="104",="104",="104",="104",="104",="104",="100",="104",="104",="104",="104",="104",="104"
