="Multinomial Marginsplot - TRUST"
="",="(1)",=""
="",="Strategies3",=""
="",="b",="se"
="1._predict#1._at",=".0685583",=".0163394"
="1._predict#2._at",=".0819654",=".0162185"
="1._predict#3._at",=".0974722",=".0156496"
="1._predict#4._at",=".1152512",=".0147666"
="1._predict#5._at",=".1354443",=".0140421"
="1._predict#6._at",=".1581505",=".0144864"
="1._predict#7._at",=".1834125",=".0172967"
="1._predict#8._at",=".2112054",=".0228945"
="1._predict#9._at",=".2414284",=".0309259"
="2._predict#1._at",=".3410054",=".0371373"
="2._predict#2._at",=".3595381",=".0314192"
="2._predict#3._at",=".3770582",=".0260805"
="2._predict#4._at",=".393175",=".0217653"
="2._predict#5._at",=".4074875",=".0194008"
="2._predict#6._at",=".4196016",=".0197976"
="2._predict#7._at",=".4291493",=".0228752"
="2._predict#8._at",=".4358104",=".0278825"
="2._predict#9._at",=".4393331",=".0342067"
="3._predict#1._at",=".5904364",=".0390593"
="3._predict#2._at",=".5584965",=".0328884"
="3._predict#3._at",=".5254696",=".0270406"
="3._predict#4._at",=".4915739",=".022269"
="3._predict#5._at",=".4570681",=".0196596"
="3._predict#6._at",=".4222479",=".020025"
="3._predict#7._at",=".3874382",=".0229082"
="3._predict#8._at",=".3529842",=".0270642"
="3._predict#9._at",=".3192385",=".0314853"
="N",="693",=""
="Multinomial Marginsplot - Risk"
="",="(1)",=""
="",="Strategies3",=""
="",="b",="se"
="1._predict#1._at",=".1300764",=".0374877"
="1._predict#2._at",=".1328553",=".0316513"
="1._predict#3._at",=".135598",=".025871"
="1._predict#4._at",=".1383",=".0204368"
="1._predict#5._at",=".1409568",=".0160223"
="1._predict#6._at",=".1435641",=".0140097"
="1._predict#7._at",=".1461176",=".0156869"
="1._predict#8._at",=".1486136",=".0203896"
="1._predict#9._at",=".1510482",=".026733"
="1._predict#10._at",=".153418",=".0339415"
="1._predict#11._at",=".1557198",=".0416743"
="2._predict#1._at",=".3591744",=".0556214"
="2._predict#2._at",=".3696084",=".0465122"
="2._predict#3._at",=".3800778",=".0375533"
="2._predict#4._at",=".3905687",=".0291682"
="2._predict#5._at",=".4010674",=".0223518"
="2._predict#6._at",=".4115599",=".0192203"
="2._predict#7._at",=".4220327",=".0217003"
="2._predict#8._at",=".432472",=".0285074"
="2._predict#9._at",=".4428648",=".0374337"
="2._predict#10._at",=".453198",=".0473425"
="2._predict#11._at",=".4634592",=".057753"
="3._predict#1._at",=".5107492",=".0604522"
="3._predict#2._at",=".4975364",=".0499123"
="3._predict#3._at",=".4843242",=".0397245"
="3._predict#4._at",=".4711312",=".030348"
="3._predict#5._at",=".4579758",=".0228469"
="3._predict#6._at",=".444876",=".0194563"
="3._predict#7._at",=".4318497",=".0220032"
="3._predict#8._at",=".4189144",=".0287797"
="3._predict#9._at",=".406087",=".0373745"
="3._predict#10._at",=".393384",=".0466109"
="3._predict#11._at",=".380821",=".0559943"
