"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","riskaverse","predicted_lo","predicted_hi","predicted","trust","lossavers","Strategies3"
"1",1,"lossavers","1",-0.057965087617573,0.0635245620037348,-0.912483074092901,0.361514475608412,1.467874678775,-0.182470941278575,0.0665407660434287,0,0.130079260299576,0.130073463790814,0.130076362059213,8.75901875901876,0.517797024713622,4
"2",2,"lossavers","1",-0.0573220103136651,0.064093291466751,-0.894352731805035,0.371133194456811,1.42999105225525,-0.182942553239125,0.0682985326117952,0.1,0.132858119831165,0.132852387630134,0.132855253747074,8.75901875901876,0.517797024713622,4
"3",3,"lossavers","1",-0.0565846006400639,0.0648885922231569,-0.872026941892421,0.383193679905388,1.38385432829225,-0.183763904404957,0.0705947031248295,0.2,0.135600842201442,0.135595183741378,0.13559801299019,8.75901875901876,0.517797024713622,4
"4",4,"lossavers","1",-0.0557552237281933,0.0659321695665991,-0.845645215297733,0.397750693749838,1.33006364800526,-0.184979901501315,0.0734694540449287,0.3,0.138302816621495,0.138297241099122,0.138300028881379,8.75901875901876,0.517797024713622,4
"5",5,"lossavers","1",-0.0548367549688122,0.0669954997433643,-0.818514007341868,0.413063747057441,1.27556364867431,-0.186145521592069,0.0764720116544443,0.4,0.140959565314366,0.140954081638869,0.1409568234999,8.75901875901876,0.517797024713622,4
"6",6,"lossavers","1",-0.0538325534493733,0.0679709757609389,-0.791993241920023,0.428364616774558,1.22308877752582,-0.187053217934859,0.079388111036112,0.5,0.143566768159353,0.143561384904009,0.143564076557089,8.75901875901876,0.517797024713622,4
"7",7,"lossavers","1",-0.0527464298866187,0.069151599153192,-0.762765149794572,0.445603468567072,1.16616763226095,-0.188281073700226,0.0827882139269881,0.6,0.14612028586445,0.146115011221462,0.146117648570388,8.75901875901876,0.517797024713622,4
"8",8,"lossavers","1",-0.0515826096034178,0.0704618833059434,-0.732064020762085,0.464129492860523,1.10740071918123,-0.189685363165931,0.0865201439590953,0.7,0.148616181407338,0.148611023146378,0.148613602306204,8.75901875901876,0.517797024713622,4
"9",9,"lossavers","1",-0.0503456912112621,0.0718205030299364,-0.700993297001511,0.483307198363999,1.04898761250181,-0.191111290501487,0.090419908078963,0.8,0.151050739515765,0.151045704946644,0.151048222262346,8.75901875901876,0.517797024713622,4
"10",10,"lossavers","1",-0.04904060171812,0.0731639788048265,-0.67028341704791,0.502677136268024,0.992296023802917,-0.192439365141232,0.0943581617049917,0.9,0.153420483992578,0.153415579932406,0.153418031995302,8.75901875901876,0.517797024713622,4
