"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","trust","predicted_lo","predicted_hi","predicted","riskaverse","lossavers","Strategies3"
"1",1,"lossavers","1",-0.0359969895076528,0.0374550438390915,-0.961071882929773,0.336516025952117,1.57125288273795,-0.109407526471641,0.0374135474563353,0,0.0685601869986636,0.0685565872997129,0.068558387149711,0.507674153491016,0.517797024713622,4
"2",2,"lossavers","1",-0.0403037677193518,0.0432456852293678,-0.931971999185293,0.351350996383405,1.50901510503385,-0.125063753255669,0.0444562178169649,2,0.0819675123477608,0.0819634819709888,0.0819654971639239,0.507674153491016,0.517797024713622,4
"3",3,"lossavers","1",-0.0445898098831721,0.0497897360390053,-0.89556228713967,0.370486585160536,1.43250678952966,-0.142175899319378,0.0529962795530343,4,0.0974745532471384,0.0974700942661501,0.0974723237662572,0.507674153491016,0.517797024713622,4
"4",4,"lossavers","1",-0.0486998690815699,0.0569836429648057,-0.854628917137641,0.392756613663356,1.34829252549395,-0.160385757000478,0.0629860188373386,6,0.115253680656305,0.115248810669397,0.11525124567855,0.507674153491016,0.517797024713622,4
"5",5,"lossavers","1",-0.0524573365565106,0.0649365497083243,-0.807824511652273,0.419191612413296,1.2543182445454,-0.179730635265121,0.0748159621521,8,0.135446982488322,0.135441736754667,0.135444359644199,0.507674153491016,0.517797024713622,4
"6",6,"lossavers","1",-0.0556739868831646,0.0734859653436185,-0.757613873925919,0.448682172043513,1.15623423384032,-0.199703832325815,0.0883558585594862,10,0.158153287296642,0.158147719897954,0.158150503627732,0.507674153491016,0.517797024713622,4
"7",7,"lossavers","1",-0.058163402515965,0.0823389809542082,-0.706389632734365,0.479945866272476,1.05905640335459,-0.219544839709942,0.103218034678013,12,0.183415311904024,0.183409495563772,0.183412403772492,0.507674153491016,0.517797024713622,4
"8",8,"lossavers","1",-0.0597570831750716,0.0915930675414279,-0.652419279963991,0.514130730087662,0.959792848953369,-0.239276196789815,0.119762030439672,14,0.211208237369273,0.211202261660956,0.211205249561924,0.507674153491016,0.517797024713622,4
"9",9,"lossavers","1",-0.0603214749442249,0.10076683900936,-0.598624265058286,0.549423471180019,0.864009551725639,-0.257820850238517,0.137177900350067,16,0.241431166592451,0.241425134444956,0.241428150573358,0.507674153491016,0.517797024713622,4
"10",1,"riskaverse","1",0.0174136108086553,0.0389799855164442,0.446732100536803,0.655068501518476,0.610282315514245,-0.0589857569214683,0.0938129785387789,0,0.0685577539272426,0.0685590203717028,0.068558387149711,0.507674153491016,0.517797024713622,4
