"treatment","session","id","period","endowment","belief_attack","belief_arming","production","arming","attack","opponent_production","opponent_arming","opponent_attack","conflict","rel_arming","arm_def","arm_att","unarmed_peace","choose_UP","win_conflict","comp1","comp2","likestowin","compulsive","trust","auszahlung","age","male","playerdem_study","bachelor","playerdem_understand","attack_profit","attack_spite","attack_super","attack_fight1","attack_fight2","attack_encourage","attack_chance","attack_mistake","attack_understand","noattack_risk","noattack_efficient","noattack_ownprofit","noattack_otherprofit","noattack_discourage","noattack_mistake","noattack_understand","arming_attack","arming_security","arming_noattack","arming_inefficient","arming_unequala1","arming_unequala2","arming_unequalb1","arming_unequalb2","arming_understand","indep_obs","Strategies3","choose_UC","choose_AP","choose_AC","riskaverse","econstudent","trustworth","no_cointosses","lossavers","lossavers_rel_orig","weird_LossAversion","mulSw_LossAversion","lossaversion_ordinal","X_score","Y_score","EET_type","EET_type_new","check_dec","check_game","belief_UP","reg_bel_arm","reg_bel_att","correct_beliefs","Altruist","Selfish","Maximin","armed_peace","armed_conflict"
0,1,1,5,80,NA,NA,5,75,1,90,30,0,1,0.9375,NA,75,0,0,1,10,10,10,6,0,13,25,1,12,1,3,5,5,2,5,4,3,5,1,1,3,3,3,3,3,3,3,5,3,1,1,5,1,NA,NA,1,1,4,0,0,1,0.363636374473572,1,0,4,0.666666686534882,0.666666686534882,0,0,4,0.5,0.5,9,2,1,1,NA,80,1,0,0,1,0,0,1
0,1,1,1,80,1,80,10,70,1,90,30,0,1,0.875,NA,70,0,0,1,10,10,10,6,0,13,25,1,12,1,3,5,5,2,5,4,3,5,1,1,3,3,3,3,3,3,3,5,3,1,1,5,1,NA,NA,1,1,4,0,0,1,0.363636374473572,1,0,4,0.666666686534882,0.666666686534882,0,0,4,0.5,0.5,9,2,1,1,0,80,1,0,0,1,0,0,1
0,1,1,4,80,NA,NA,5,75,1,90,30,0,1,0.9375,NA,75,0,0,1,10,10,10,6,0,13,25,1,12,1,3,5,5,2,5,4,3,5,1,1,3,3,3,3,3,3,3,5,3,1,1,5,1,NA,NA,1,1,4,0,0,1,0.363636374473572,1,0,4,0.666666686534882,0.666666686534882,0,0,4,0.5,0.5,9,2,1,1,NA,80,1,0,0,1,0,0,1
0,1,1,6,80,NA,NA,10,70,1,70,50,1,1,0.875,NA,70,0,0,1,10,10,10,6,0,13,25,1,12,1,3,5,5,2,5,4,3,5,1,1,3,3,3,3,3,3,3,5,3,1,1,5,1,NA,NA,1,1,4,0,0,1,0.363636374473572,1,0,4,0.666666686534882,0.666666686534882,0,0,4,0.5,0.5,9,2,1,1,NA,80,1,0,0,1,0,0,1
0,1,1,3,80,NA,NA,5,75,1,100,20,0,1,0.9375,NA,75,0,0,1,10,10,10,6,0,13,25,1,12,1,3,5,5,2,5,4,3,5,1,1,3,3,3,3,3,3,3,5,3,1,1,5,1,NA,NA,1,1,4,0,0,1,0.363636374473572,1,0,4,0.666666686534882,0.666666686534882,0,0,4,0.5,0.5,9,2,1,1,NA,80,1,0,0,1,0,0,1
0,1,1,7,80,NA,NA,5,75,1,60,60,0,1,0.9375,NA,75,0,0,1,10,10,10,6,0,13,25,1,12,1,3,5,5,2,5,4,3,5,1,1,3,3,3,3,3,3,3,5,3,1,1,5,1,NA,NA,1,1,4,0,0,1,0.363636374473572,1,0,4,0.666666686534882,0.666666686534882,0,0,4,0.5,0.5,9,2,1,1,NA,80,1,0,0,1,0,0,1
0,1,1,2,80,NA,NA,5,75,1,80,40,1,1,0.9375,NA,75,0,0,0,10,10,10,6,0,13,25,1,12,1,3,5,5,2,5,4,3,5,1,1,3,3,3,3,3,3,3,5,3,1,1,5,1,NA,NA,1,1,4,0,0,1,0.363636374473572,1,0,4,0.666666686534882,0.666666686534882,0,0,4,0.5,0.5,9,2,1,1,NA,80,1,0,0,1,0,0,1
0,8,8,6,120,NA,NA,0,120,1,60,20,0,1,1,NA,120,0,0,1,3,3,3,3,0,11.5,43,1,7,0,2,5,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,4,2,1,1,NA,NA,5,1,1,8,4,0,0,1,0.545454561710358,0,0,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,0,NA,20,0,0,0,1,0,0,1
0,8,8,2,120,NA,NA,0,120,1,30,50,0,1,1,NA,120,0,0,1,3,3,3,3,0,11.5,43,1,7,0,2,5,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,4,2,1,1,NA,NA,5,1,1,8,4,0,0,1,0.545454561710358,0,0,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,0,NA,20,0,0,0,1,0,0,1
0,8,8,7,120,NA,NA,0,120,1,0,80,1,1,1,NA,120,0,0,0,3,3,3,3,0,11.5,43,1,7,0,2,5,2,2,2,2,1,4,1,1,1,1,1,1,1,1,1,4,2,1,1,NA,NA,5,1,1,8,4,0,0,1,0.545454561710358,0,0,3,0.5,0.5,0,0,3,0.5,0.5,9,2,1,0,NA,20,0,0,0,1,0,0,1
